UPDATED_AT,CITY,HUMIDITY_MIN,HUMIDITY_AVG,HUMIDITY_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,TEMPERATURE_MAX,LAST_TIME_UPDATED
2023-06-19T07:00:29.745-07:00,Merida,52.30,75.01818182,88.70,25.00,27.72727273,32.00,2023-06-19T12:43:00Z
2023-06-19T07:00:29.745-07:00,Mexico City,18.20,25.95454545,32.40,19.00,22.00000000,26.00,2023-06-19T12:45:00Z
2023-06-19T07:00:29.745-07:00,Monterrey,32.30,49.28181818,69.60,26.00,30.63636364,35.00,2023-06-19T12:40:00Z
2023-06-19T06:00:31.516-07:00,Merida,52.30,74.15000000,88.70,25.00,27.80000000,32.00,2023-06-19T11:43:00Z
2023-06-19T06:00:31.516-07:00,Mexico City,18.20,25.34000000,32.40,19.00,22.30000000,26.00,2023-06-19T11:50:00Z
2023-06-19T06:00:31.516-07:00,Monterrey,32.30,47.25000000,51.80,30.00,31.10000000,35.00,2023-06-19T05:40:00Z
2023-06-19T05:00:32.498-07:00,Merida,52.30,72.53333333,88.70,25.00,28.11111111,32.00,2023-06-19T10:44:00Z
2023-06-19T05:00:32.498-07:00,Mexico City,18.20,24.58888889,32.40,19.00,22.66666667,26.00,2023-06-19T10:44:00Z
2023-06-19T05:00:32.498-07:00,Monterrey,32.30,46.74444444,51.80,30.00,31.22222222,35.00,2023-06-19T05:40:00Z
2023-06-19T04:00:32.016-07:00,Merida,52.30,70.51250000,83.60,26.00,28.50000000,32.00,2023-06-19T09:43:00Z
2023-06-19T04:00:32.016-07:00,Mexico City,18.20,23.92500000,32.40,20.00,23.12500000,26.00,2023-06-19T09:43:00Z
2023-06-19T04:00:32.016-07:00,Monterrey,32.30,46.11250000,51.80,30.00,31.37500000,35.00,2023-06-19T05:40:00Z
2023-06-19T03:00:32.055-07:00,Merida,52.30,68.64285714,83.60,26.00,28.85714286,32.00,2023-06-19T08:44:00Z
2023-06-19T03:00:32.055-07:00,Mexico City,18.20,23.87142857,32.40,20.00,23.57142857,26.00,2023-06-19T08:52:00Z
2023-06-19T03:00:32.055-07:00,Monterrey,32.30,45.30000000,51.80,30.00,31.57142857,35.00,2023-06-19T05:40:00Z
2023-06-19T02:00:47.355-07:00,Merida,52.30,66.15000000,78.80,27.00,29.33333333,32.00,2023-06-19T07:44:00Z
2023-06-19T02:00:47.355-07:00,Mexico City,18.20,22.45000000,28.70,22.00,24.16666667,26.00,2023-06-19T07:40:00Z
2023-06-19T02:00:47.355-07:00,Monterrey,32.30,44.21666667,51.80,30.00,31.83333333,35.00,2023-06-19T05:40:00Z
2023-06-19T01:00:57.322-07:00,Merida,52.30,63.62000000,74.30,28.00,29.80000000,32.00,2023-06-19T06:43:00Z
2023-06-19T01:00:57.322-07:00,Mexico City,18.20,21.20000000,25.40,23.00,24.60000000,26.00,2023-06-19T06:46:00Z
2023-06-19T01:00:57.322-07:00,Monterrey,32.30,42.70000000,51.80,30.00,32.20000000,35.00,2023-06-19T05:40:00Z
2023-06-19T00:00:31.352-07:00,Merida,52.30,60.95000000,70.10,29.00,30.25000000,32.00,2023-06-19T05:43:00Z
2023-06-19T00:00:31.352-07:00,Mexico City,18.20,21.80000000,25.40,24.00,25.00000000,26.00,2023-06-19T05:45:00Z
2023-06-19T00:00:31.352-07:00,Monterrey,32.30,40.42500000,51.80,30.00,32.75000000,35.00,2023-06-19T05:40:00Z
2023-06-18T23:00:29.385-07:00,Merida,52.30,57.90000000,66.00,29.00,30.66666667,32.00,2023-06-19T04:42:00Z
2023-06-18T23:00:29.385-07:00,Mexico City,18.20,20.60000000,25.40,24.00,25.33333333,26.00,2023-06-19T04:50:00Z
2023-06-18T23:00:29.385-07:00,Monterrey,32.30,36.63333333,43.40,32.00,33.66666667,35.00,2023-06-19T04:40:00Z
2023-06-18T22:00:29.575-07:00,Merida,52.30,53.85000000,55.40,31.00,31.50000000,32.00,2023-06-19T03:44:00Z
2023-06-18T22:00:29.575-07:00,Mexico City,18.20,18.20000000,18.20,26.00,26.00000000,26.00,2023-06-19T03:45:00Z
2023-06-18T22:00:29.575-07:00,Monterrey,32.30,33.25000000,34.20,34.00,34.50000000,35.00,2023-06-19T03:40:00Z
2023-06-18T21:02:22.18-07:00,Merida,52.30,52.30000000,52.30,32.00,32.00000000,32.00,2023-06-19T02:44:00Z
2023-06-18T21:02:22.18-07:00,Mexico City,18.20,18.20000000,18.20,26.00,26.00000000,26.00,2023-06-19T02:43:00Z
2023-06-18T21:02:22.18-07:00,Monterrey,34.20,34.20000000,34.20,34.00,34.00000000,34.00,2023-06-19T02:40:00Z
